@relation temperature,
,
@attribute Temperature numeric,
@attribute Date date 'yyyy-MM-dd',
,
@data,
31,2011-08-22
29,2011-08-23
31,2011-08-24
30,2011-08-25
30,2011-08-26
29,2011-08-27
27,2011-08-28
27,2011-08-29
25,2011-08-30
25,2011-08-31
25,2011-09-01
28,2011-09-02
29,2011-09-03
29,2011-09-04
32,2011-09-05
31,2011-09-06
30,2011-09-07
30,2011-09-08
29,2011-09-09
29,2011-09-10
28,2011-09-11
30,2011-09-12
25,2011-09-13
29,2011-09-14
31,2011-09-15
31,2011-09-16
32,2011-09-17
28,2011-09-18
30,2011-09-19
30,2011-09-20
31,2011-09-21
30,2011-09-22
31,2011-09-23
33,2011-09-24
33,2011-09-25
32,2011-09-26
30,2011-09-27
31,2011-09-28
31,2011-09-29
32,2011-09-30
31,2011-10-01
32,2011-10-02
31,2011-10-03
32,2011-10-04
31,2011-10-05
31,2011-10-06
32,2011-10-07
31,2011-10-08
30,2011-10-09
30,2011-10-10
31,2011-10-11
31,2011-10-12
30,2011-10-13
30,2011-10-14
30,2011-10-15
31,2011-10-16
31,2011-10-17
31,2011-10-18
33,2011-10-19
30,2011-10-20
30,2011-10-21
31,2011-10-22
30,2011-10-23
33,2011-10-24
27,2011-10-25
34,2011-10-26
31,2011-10-27
30,2011-10-28
31,2011-10-29
28,2011-10-30
30,2011-10-31
32,2011-11-01
31,2011-11-02
32,2011-11-03
31,2011-11-04
33,2011-11-05
33,2011-11-06
32,2011-11-07
31,2011-11-08
32,2011-11-09
32,2011-11-10
33,2011-11-11
33,2011-11-12
33,2011-11-13
33,2011-11-14
34,2011-11-15
33,2011-11-16
33,2011-11-17
33,2011-11-18
32,2011-11-19
33,2011-11-20
33,2011-11-21
28,2011-11-22
32,2011-11-23
29,2011-11-24
32,2011-11-25
34,2011-11-26
34,2011-11-27
29,2011-11-28
31,2011-11-29
31,2011-11-30
32,2011-12-01
32,2011-12-02
33,2011-12-03
35,2011-12-04
33,2011-12-05
33,2011-12-06
32,2011-12-07
34,2011-12-08
34,2011-12-09
32,2011-12-10
33,2011-12-11
34,2011-12-12
32,2011-12-13
33,2011-12-14
32,2011-12-15
31,2011-12-16
34,2011-12-17
30,2011-12-18
32,2011-12-19
33,2011-12-20
31,2011-12-21
31,2011-12-22
33,2011-12-23
31,2011-12-24
30,2011-12-25
30,2011-12-26
31,2011-12-27
31,2011-12-28
28,2011-12-29
34,2011-12-30
33,2011-12-31
34,2012-01-01
32,2012-01-02
35,2012-01-03
33,2012-01-04
33,2012-01-05
33,2012-01-06
32,2012-01-07
31,2012-01-08
32,2012-01-09
31,2012-01-10
33,2012-01-11
32,2012-01-12
33,2012-01-13
33,2012-01-14
32,2012-01-15
30,2012-01-16
32,2012-01-17
31,2012-01-18
32,2012-01-19
31,2012-01-20
33,2012-01-21
32,2012-01-22
32,2012-01-23
32,2012-01-24
32,2012-01-25
31,2012-01-26
31,2012-01-27
30,2012-01-28
33,2012-01-29
33,2012-01-30
33,2012-01-31
35,2012-02-01
33,2012-02-02
33,2012-02-03
32,2012-02-04
34,2012-02-05
32,2012-02-06
33,2012-02-07
33,2012-02-08
31,2012-02-09
29,2012-02-10
32,2012-02-11
32,2012-02-12
32,2012-02-13
31,2012-02-14
32,2012-02-15
34,2012-02-16
34,2012-02-17
33,2012-02-18
32,2012-02-19
32,2012-02-20
33,2012-02-21
34,2012-02-22
34,2012-02-23
34,2012-02-24
35,2012-02-25
33,2012-02-26
33,2012-02-27
34,2012-02-28
33,2012-02-29
32,2012-03-01
